id;item_order;topic;presenter_name;duration_minutes;note;meeting_id
1;20222;extent;skeletal boo concerning;28859;../fake-data/blob/hipster.txt;1
2;10462;warmly as concerning;iterate meanwhile;30490;../fake-data/blob/hipster.txt;2
3;25622;lest supposing;while supposing gosh;27646;../fake-data/blob/hipster.txt;3
4;5135;where;if quickly;28172;../fake-data/blob/hipster.txt;4
5;15687;sweetly;coordinated carefully;16392;../fake-data/blob/hipster.txt;5
6;2083;urgently affiliate case;pace next or;7903;../fake-data/blob/hipster.txt;6
7;19299;supposing;shush energetically;32439;../fake-data/blob/hipster.txt;7
8;8083;editor;smuggle adventurously;24441;../fake-data/blob/hipster.txt;8
9;23435;different irritably mousse;disadvantage stingy;30934;../fake-data/blob/hipster.txt;9
10;9289;dock;proud nougat inside;658;../fake-data/blob/hipster.txt;10
