id;title;start_time;end_time;mode;online_link;objectives;note;status;created_at;submitted_at;approved_at;canceled_at;type_id;level_id;organizer_department_id;requester_id;host_id
1;till;2026-02-23T15:00:24;2026-02-24T04:06:19;ONLINE;lowball blaring;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;PENDING_APPROVAL;2026-02-23T19:09:45;2026-02-24T05:40:39;2026-02-24T02:35:52;2026-02-24T01:16:31;1;1;1;1;1
2;conservative reluctantly brand;2026-02-23T19:13:47;2026-02-23T15:08:51;ONLINE;lobster whoa;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;COMPLETED;2026-02-24T00:45:55;2026-02-24T00:54:46;2026-02-23T21:35:01;2026-02-23T16:50:57;2;2;2;2;2
3;glossy worth;2026-02-23T16:53:06;2026-02-24T07:24:21;IN_PERSON;unto apropos;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;PENDING_APPROVAL;2026-02-23T13:55:54;2026-02-23T13:17:40;2026-02-23T22:05:16;2026-02-24T02:46:21;3;3;3;1;1
4;versus;2026-02-23T10:13:11;2026-02-24T01:47:52;IN_PERSON;cleverly against;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;PENDING_APPROVAL;2026-02-23T14:02:20;2026-02-23T13:51:45;2026-02-23T14:05:11;2026-02-23T21:26:10;4;4;4;2;2
5;dearly satirise;2026-02-24T06:37:33;2026-02-23T10:24:09;ONLINE;above extroverted;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;REJECTED;2026-02-24T01:00:56;2026-02-24T07:35:55;2026-02-23T17:57:46;2026-02-24T07:24:02;5;5;5;2;2
6;and near;2026-02-24T06:12:44;2026-02-24T09:14:13;ONLINE;useless surprisingly indeed;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;CANCELED;2026-02-23T19:27:09;2026-02-23T19:15:45;2026-02-23T13:01:51;2026-02-24T08:09:42;6;6;6;2;2
7;phew insignificant fess;2026-02-24T04:57:46;2026-02-24T02:10:09;ONLINE;marketplace publication condense;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;COMPLETED;2026-02-24T09:00:41;2026-02-23T19:11:49;2026-02-23T12:18:37;2026-02-23T13:45:27;7;7;7;2;2
8;although qua beside;2026-02-23T21:02:46;2026-02-23T10:37:02;HYBRID;achieve gee;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;PENDING_APPROVAL;2026-02-24T05:09:54;2026-02-23T23:24:42;2026-02-23T19:46:46;2026-02-23T19:26:59;8;8;8;2;1
9;deep ha;2026-02-24T00:06:56;2026-02-23T17:39:15;ONLINE;sweetly obediently;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;APPROVED;2026-02-23T14:54:34;2026-02-23T22:15:39;2026-02-24T04:30:53;2026-02-24T03:20:51;9;9;9;1;2
10;unwieldy;2026-02-24T09:02:53;2026-02-23T19:52:19;HYBRID;while nor;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;REJECTED;2026-02-23T15:26:53;2026-02-23T18:01:54;2026-02-23T16:24:04;2026-02-24T01:04:39;10;10;10;1;2
