id;step;decision;reason;decided_at;decided_by_id;meeting_id
1;20867;REJECTED;inside;2026-02-23T14:45:15;1;1
2;2112;REJECTED;scarily pinstripe between;2026-02-23T15:47:36;2;2
3;9229;APPROVED;tribe although pretty;2026-02-23T09:54:58;2;3
4;24452;APPROVED;um unless judgementally;2026-02-24T07:27:19;2;4
5;24042;REJECTED;markup procurement;2026-02-24T06:26:34;2;5
6;800;APPROVED;while once;2026-02-23T16:02:02;2;6
7;1762;REJECTED;like;2026-02-23T22:55:52;1;7
8;10104;APPROVED;joyfully after;2026-02-24T06:11:05;1;8
9;26272;APPROVED;or woot;2026-02-23T12:48:11;1;9
10;32534;REJECTED;foolishly;2026-02-24T01:32:03;2;10
