id;code;name;location;capacity;active
1;helpless since;mmm cautiously bah;apropos;17490;false
2;um;fatally bitterly;yahoo proselytise extricate;28499;true
3;throughout closed;excitedly quietly unaware;every cow till;6665;false
4;suddenly;unkempt;willing disbar;10951;false
5;hm;drat;fooey;30622;true
6;yuck meh;heartfelt blah;slope;10401;false
7;deliberately unlined graffiti;self-reliant govern;forenenst prejudge;2382;true
8;idolized rim;unto guest lack;eek;18336;false
9;gah colossal;brr before goodwill;bar haversack;2102;true
10;aside;bootleg vice tidy;pearl jot essential;21448;true
